| # | team | hello | lambdaman | spaceship | 3d | efficiency |
| 229 | quoc28 |  |  |  |  |  |
| 229 | maron8676 |  |  |  |  |  |
| 229 | Team AK |  |  |  |  |  |
| 229 | hustlers |  |  |  |  |  |
| 229 | SoloQueue |  |  |  |  |  |
| 229 | Fantastic 4 |  |  |  |  |  |
| 229 | Slasher |  |  |  |  |  |
| 229 | Dynamo |  |  |  |  |  |
| 229 | Codehunters |  |  |  |  |  |
| 229 | jonathanprogramming |  |  |  |  |  |
| 229 | DarkKnignt |  |  |  |  |  |
| 229 | plan arado |  |  |  |  |  |
| 229 | ateam |  |  |  |  |  |
| 229 | ateam |  |  |  |  |  |
| 229 | aaaa |  |  |  |  |  |
| 229 | GRARIO |  |  |  |  |  |
| 229 | Miracle |  |  |  |  |  |
| 229 | Side Effects May Include... |  |  |  |  |  |
| 229 | Want To Delete This Account |  |  |  |  |  |
| 229 | solo rank |  |  |  |  |  |
| 229 | ? |  |  |  |  |  |
| 229 | N0BML |  |  |  |  |  |
| 229 | V |  |  |  |  |  |
| 229 | ? |  |  |  |  |  |
| 229 | InKryptz |  |  |  |  |  |
| 229 | swayingfish |  |  |  |  |  |
| 229 | One-Pass Gang |  |  |  |  |  |
| 229 | beginner |  |  |  |  |  |
| 229 | random_team |  |  |  |  |  |
| 229 | ToiToi |  |  |  |  |  |
| 229 | Gassa |  |  |  |  |  |
| 229 | blueboar's team |  |  |  |  |  |
| 229 | Ace_yuki |  |  |  |  |  |
| 229 | AAV2024 |  |  |  |  |  |
| 229 | The Marauder |  |  |  |  |  |
| 229 | 0xValhalla |  |  |  |  |  |
| 229 | HCF |  |  |  |  |  |
| 229 | KBashist |  |  |  |  |  |
| 229 | sad |  |  |  |  |  |
| 229 | ush |  |  |  |  |  |
| 229 | farwah |  |  |  |  |  |
| 229 | Discord doesn't work can we please use email instead kthxbye |  |  |  |  |  |
| 229 | bscii |  |  |  |  |  |
| 229 | ml-brothers |  |  |  |  |  |
| 229 | TV4Fun |  |  |  |  |  |
| 229 | zenito9970 |  |  |  |  |  |
| 229 | glua.team |  |  |  |  |  |
| 229 | Now Loading... |  |  |  |  |  |
| 229 | not used |  |  |  |  |  |
| 229 | Binary_Three |  |  |  |  |  |
| 229 | The Demolishers |  |  |  |  |  |
| 229 | @mask |  |  |  |  |  |
| 229 | Strength |  |  |  |  |  |
| 229 | Vic |  |  |  |  |  |
| 229 | leojean890 |  |  |  |  |  |
| 229 | bark but don't bite |  |  |  |  |  |
| 229 | TCPC |  |  |  |  |  |
| 229 | solo_coder |  |  |  |  |  |
| 229 | DETOX |  |  |  |  |  |
| 229 | pandaT |  |  |  |  |  |
| 229 | 4eta |  |  |  |  |  |
| 229 | poka |  |  |  |  |  |
| 229 | Cail_Team |  |  |  |  |  |
| 229 | Dyalog hehe |  |  |  |  |  |
| 229 | Test |  |  |  |  |  |
| 229 | SKL |  |  |  |  |  |
| 229 | ilikerice |  |  |  |  |  |
| 229 | De Stomme van Campen |  |  |  |  |  |
| 229 | ccc |  |  |  |  |  |
| 229 | not_participating |  |  |  |  |  |
| 229 | Lexi |  |  |  |  |  |
| 229 | Sihl++ |  |  |  |  |  |
| 229 | Golden Middle |  |  |  |  |  |
| 229 | wheezards |  |  |  |  |  |
| 229 | TBD |  |  |  |  |  |
| 229 | ToastUz |  |  |  |  |  |
| 229 | skermes |  |  |  |  |  |
| 229 | Reflex12 |  |  |  |  |  |
| 229 | Pi |  |  |  |  |  |
| 229 | masataka |  |  |  |  |  |
| 229 | shukhrat |  |  |  |  |  |
| 229 | globalstudent |  |  |  |  |  |
| 229 | a |  |  |  |  |  |
| 229 | serious |  |  |  |  |  |
| 229 | h4rr9 |  |  |  |  |  |
| 229 | Scr4peR |  |  |  |  |  |
| 229 | elmurod |  |  |  |  |  |
| 229 | botrevenge |  |  |  |  |  |
| 229 | asldev |  |  |  |  |  |
| 229 | ut |  |  |  |  |  |
| 229 | dapps |  |  |  |  |  |
| 229 | fp[uk] |  |  |  |  |  |
| 229 | O'zim |  |  |  |  |  |
| 229 | Jacob |  |  |  |  |  |
| 229 | Quarks |  |  |  |  |  |

You scored some points for looking at the scoreboard! You can also do `get scoreboard <coursename>` to see the scoreboard for a specific course.

